Model,CV_Macro_F1_Mean,CV_Macro_F1_Std,Test_Accuracy,Test_Macro_F1,Test_Weighted_F1,Test_AUC
Linear SVM,0.9971259949883208,0.0004800682522873615,0.9973267988416128,0.9973213748942893,0.9973269062465104,0.9998946226468811
Logistic Regression,0.9910731658604245,0.0014072784109430123,0.9925373134328358,0.9925229864722869,0.9925380060848725,0.9994215932071142
Multinomial Naive Bayes,0.9590311190264256,0.000840429026821692,0.9607930496769882,0.9607119121032566,0.9607938451433973,0.9912500991487012
Dummy baseline,0.3433477181933216,8.878695892739467e-06,0.5229449766094899,0.34337745922621227,0.3591350347665553,0.5
